id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1598988753141366785	1598988753141366785	2022-12-03 17:33:21 SE Asia Standard Time	2022-12-03	17:33:21	+0700	1403066170022891524	jakulunlappung	Jak Ulun Lappung		Garut Sisca Innalillahi Pangandaran Kebumen Bandung Jepang vs Maroko sulli Cilacap Soleh Ya Allah BLACKPINK #HITCJAKARTA Yoshi #iKONatWMFF2022  Maskot dan Jingle Pemilu 2024  https://t.co/Qx24PEF4UK	in	[]	['https://kirka.co/maskot-dan-jingle-pemilu-2024/']	[]	0	0	0	['hitcjakarta', 'ikonatwmff2022']	[]	https://twitter.com/jakulunlappung/status/1598988753141366785	False		0								[]				
1598988533502717952	1598978908824952833	2022-12-03 17:32:28 SE Asia Standard Time	2022-12-03	17:32:28	+0700	877657279893458944	pkartawidjaja	PJBlues		@MrsRachelIn @NasDem @Metro_TV @mohmahfudmd @KPU_ID Kami siap tenggelamkan Partai pendukung Bapak Politik Identitas.  Tunggu saja di pemilu 2024 nanti 💪	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/PKartawidjaja/status/1598988533502717952	False		0								[{'screen_name': 'MrsRachelIn', 'name': 'indri Yahya⚘🇮🇩🕊', 'id': '1379431842'}, {'screen_name': 'NasDem', 'name': 'Partai NasDem', 'id': '109149190'}, {'screen_name': 'Metro_TV', 'name': 'METRO TV', 'id': '57261519'}, {'screen_name': 'mohmahfudmd', 'name': 'Mahfud MD', 'id': '282006208'}, {'screen_name': 'KPU_ID', 'name': 'KPU RI', 'id': '2413697946'}]				
1598988458026205186	1598987652522708992	2022-12-03 17:32:10 SE Asia Standard Time	2022-12-03	17:32:10	+0700	86654218	sanyalkadrie	Sanz		@geloraco Contoh jelasnya PJ Gub DKI.. serasa dia Gub hasil pemilu.	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/sanyalkadrie/status/1598988458026205186	False		0								[{'screen_name': 'geloraco', 'name': 'GELORA NEWS', 'id': '3319260420'}]				
1598988138156036096	1598975159892774912	2022-12-03 17:30:54 SE Asia Standard Time	2022-12-03	17:30:54	+0700	1146046641780039681	_4iii_na_t3h5h	_Aina_Queen		@DeeRose782 Begini nih kalau ODGJ diijinkan ikut pemilu🤭	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/_4iii_Na_T3H5h/status/1598988138156036096	False		0								[{'screen_name': 'DeeRose782', 'name': 'DeeRose', 'id': '1393180293964701698'}]				
1598988120103743490	1598988120103743490	2022-12-03 17:30:50 SE Asia Standard Time	2022-12-03	17:30:50	+0700	1484217126395482112	tommyesa78	➡️		Se arogan ini kah mereka? Begitu bernafsunya mereka ingin memenangkan pemilu?  Apa yg dilakukan Aliansi Milenial sudah benar Mereka tidak ingin ada kampanye sebelum waktunya Salahnya dimana sampe @NasDem Wilayah Aceh bertindak arogan?	in	[{'screen_name': 'nasdem', 'name': 'partai nasdem', 'id': '109149190'}]	[]	[]	1	2	2	[]	[]	https://twitter.com/Tommyesa78/status/1598988120103743490	False	https://twitter.com/puspita3_eka/status/1598980136308965376	0								[]				
1598987984480894978	1598954945340133379	2022-12-03 17:30:17 SE Asia Standard Time	2022-12-03	17:30:17	+0700	829245444492578816	bfitrikananda	Bona P. Fitrikananda		@OposisiCerdas Maksudnya skrg tdk berkuasa? Ini yg selalu klaim sbg pemenang pemilu, petugas partainya sbg  presiden, mayoritas patlemen, tapi kok masih merasa tdk berkuasa? Jd ino banteng ompong?	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/bfitrikananda/status/1598987984480894978	False		0								[{'screen_name': 'OposisiCerdas', 'name': 'OposisiCerdas.com', 'id': '887743587579944960'}]				
1598987867870855169	1598987867870855169	2022-12-03 17:29:50 SE Asia Standard Time	2022-12-03	17:29:50	+0700	1507238964658581510	sasqilafrdna_	Sasqila Faradina		Menteri Pertahanan (Menhan), Prabowo Subianto, terus mendapat banyak dukungan pada Pemilihan Umum (Pemilu) 2024. Mending Prabowo  https://t.co/oBLHiS4c0L dekade08	in	[]	['https://nasional.okezone.com/read/2022/12/01/337/2718325/bahas-dukungan-jokowi-ke-prabowo-pengamat-mampu-jawab-tantangan-ri-ke-depan']	[]	0	0	0	[]	[]	https://twitter.com/sasqilafrdna_/status/1598987867870855169	False		0								[]				
1598987640350466048	1598987640350466048	2022-12-03 17:28:55 SE Asia Standard Time	2022-12-03	17:28:55	+0700	1532177563111477248	sennaaditya2	Senna Aditya		Menteri Pertahanan (Menhan), Prabowo Subianto, terus mendapat banyak dukungan pada Pemilihan Umum (Pemilu) 2024. Mending Prabowo  https://t.co/eEdiXJyYmN dekade08	in	[]	['https://nasional.okezone.com/read/2022/12/01/337/2718325/bahas-dukungan-jokowi-ke-prabowo-pengamat-mampu-jawab-tantangan-ri-ke-depan']	[]	0	0	0	[]	[]	https://twitter.com/SennaAditya2/status/1598987640350466048	False		0								[]				
1598987597212446720	1598987597212446720	2022-12-03 17:28:45 SE Asia Standard Time	2022-12-03	17:28:45	+0700	1519501508777496576	danilsayyid	Sayyid Danil		Menteri Pertahanan (Menhan), Prabowo Subianto, terus mendapat banyak dukungan pada Pemilihan Umum (Pemilu) 2024. Mending Prabowo  https://t.co/eGoOVjq6Zg dekade08	in	[]	['https://nasional.okezone.com/read/2022/12/01/337/2718325/bahas-dukungan-jokowi-ke-prabowo-pengamat-mampu-jawab-tantangan-ri-ke-depan']	[]	0	0	0	[]	[]	https://twitter.com/DanilSayyid/status/1598987597212446720	False		0								[]				
1598987578954260480	1598987578954260480	2022-12-03 17:28:41 SE Asia Standard Time	2022-12-03	17:28:41	+0700	1506825106823163905	sandralby3	Sandra Lubay		Menteri Pertahanan (Menhan), Prabowo Subianto, terus mendapat banyak dukungan pada Pemilihan Umum (Pemilu) 2024. Mending Prabowo  https://t.co/tTlC50oioA dekade08	in	[]	['https://nasional.okezone.com/read/2022/12/01/337/2718325/bahas-dukungan-jokowi-ke-prabowo-pengamat-mampu-jawab-tantangan-ri-ke-depan']	[]	0	0	0	[]	[]	https://twitter.com/SandraLby3/status/1598987578954260480	False		0								[]				
1598987569269645312	1598987569269645312	2022-12-03 17:28:38 SE Asia Standard Time	2022-12-03	17:28:38	+0700	1518993606279073796	samirafitria	Samira Fitria		Menteri Pertahanan (Menhan), Prabowo Subianto, terus mendapat banyak dukungan pada Pemilihan Umum (Pemilu) 2024. Mending Prabowo  https://t.co/cVfDwsqzSZ dekade08	in	[]	['https://nasional.okezone.com/read/2022/12/01/337/2718325/bahas-dukungan-jokowi-ke-prabowo-pengamat-mampu-jawab-tantangan-ri-ke-depan']	[]	0	0	0	[]	[]	https://twitter.com/SamiraFitria/status/1598987569269645312	False		0								[]				
1598986878849617921	1598986878849617921	2022-12-03 17:25:54 SE Asia Standard Time	2022-12-03	17:25:54	+0700	1196602470023102465	bawaslutjb	BawasluTanjabBarat		#SahabatBawaslu Berikut Awasmin share Informasi terkait Sengketa Proses Pemilu, Apa dan Bagaimana!?  https://t.co/ZgcYIieh6l	in	[]	['https://www.instagram.com/p/Cls85w4BjeT/?igshid=YTgzYjQ4ZTY=']	[]	0	0	0	['sahabatbawaslu']	[]	https://twitter.com/BawasluTJB/status/1598986878849617921	False		0								[]				
1598986865428037635	1598986865428037635	2022-12-03 17:25:51 SE Asia Standard Time	2022-12-03	17:25:51	+0700	1377474137807986695	deje_vendra	Tinta Biru		Berikut lima arahan dari Presiden Jokowi terkait kesiapan pelaksanaan pemilu serentak 2024.  https://t.co/x3wpS7h95E	in	[]	[]	['https://pbs.twimg.com/media/FjC-EskaUAAe9cw.jpg']	0	0	0	[]	[]	https://twitter.com/Deje_Vendra/status/1598986865428037635	False		1	https://pbs.twimg.com/media/FjC-EskaUAAe9cw.jpg							[]				
1598986842845884418	1598965776471441408	2022-12-03 17:25:45 SE Asia Standard Time	2022-12-03	17:25:45	+0700	1585112031090221058	oedzieo	Febri		@mardigu024 Pergi berperang membawa pedang, Perangnya diatas jerami. Waktu pemilu segera datang,  Ayo sukseskan dengan tenang dan damai.	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/OedzieO/status/1598986842845884418	False		0								[{'screen_name': 'mardigu024', 'name': 'Bossman Mardigu', 'id': '954984702'}]				
1598986669968871424	1598983478208782337	2022-12-03 17:25:04 SE Asia Standard Time	2022-12-03	17:25:04	+0700	1260390239425581057	ngiecps	ngie		@avo_cappuccino @hejyvnk @teaweee ini mah pemilu sekali aja belum tentu format lengkap ketemu 🤭	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ngiecps/status/1598986669968871424	False		0								[{'screen_name': 'avo_cappuccino', 'name': 'Panggil Aku Dv', 'id': '1269238800611454979'}, {'screen_name': 'hejyvnk', 'name': '⚫️⚫️⚫️', 'id': '900037813'}, {'screen_name': 'teaweee', 'name': 'Pratiwi Agustiana', 'id': '395084628'}]				
1598986290929991680	1598986290929991680	2022-12-03 17:23:34 SE Asia Standard Time	2022-12-03	17:23:34	+0700	1097898847840329729	novrihelmi	Novri Helmi		Hmi Cabang Baturaja Ajak Bawaslu OKU Mengajak seluruh lintas organisasi mengawasi pemilu 2024    https://t.co/7RIyJ81PyW	in	[]	['https://harianrakyat.co.id/ketum-hmi-baturaja-apresiasi-bawaslu-ajak-ormawa-awasi-pemilu/']	[]	0	0	1	[]	[]	https://twitter.com/NovriHelmi/status/1598986290929991680	False		0								[]				
1598986088114446340	1598704270635053057	2022-12-03 17:22:45 SE Asia Standard Time	2022-12-03	17:22:45	+0700	1928754102	jeykumbara06	jey		@OposisiCerdas Nah ini yg harusnya di pertanyakan kpada kpu.apa emang akan ada kerusuhan di pemilu 2024?.apa udah di seting biar rusuh n gagal pemilu?.terjadilah tiga periode ...waspadalah	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/JeyKumbara06/status/1598986088114446340	False		0								[{'screen_name': 'OposisiCerdas', 'name': 'OposisiCerdas.com', 'id': '887743587579944960'}]				
